product;coord_x;coord_y;label
Smartphone Galaxy Y GT-S5360B Samsung Android 2.3 3G Quad Band Wi-Fi Bluetooth Touch MP3 A-GPS C;-4.35361E+016;81340600000000;Celular
Celular Desbloqueado Claro Alcatel OT355 Cinza QWERTY. Dual Chip. c/ C;-5646320000000000;-9.27611E+015;Celular
Celular Desbloqueado Alcatel OT223 Cinza c/ R;-5700060000000000;-9.22256E+015;Celular
Samsung GSM Ch@t C3222 Rosa Dual Chip. C;-3437350000000000;2.21168E+016;Celular
Celular Desbloqueado Nokia C2-06 Grafite Dual Chip c/ C;-3.16257E+016;3222760000000000;Celular
Celular Desbloqueado Dual Chip LG P525 Preto e Vermelho Touchscreen Wi-Fi Câmera 2MP MP3 Player Rádio FM Bluetooth;-2.76616E+016;9.96705E+015;Celular
Smartphone Nextel Motorola i867 Branco com Display Touch de 3.1 e Teclado QWERTY Virtual. Android 2.1. Wi-Fi e GPS;-5.39975E+016;2381020000000000;Celular
Celular Motorola EX128 Dual Chip. C;-6225390000000000;223908000000000;Celular
GT-I8190 VIVO : Smartphone Samsung Galaxy S III Mini Branco Desb vivo- GSM;-5.22432E+016;1192110000000000;Celular
Smartphone Desbloqueado Dual Chip Optimus L5 II E455 Branco LG;-6138660000000000;1.1178E+016;Celular
Smartphone Nokia Lumia 820. Desbloqueado. Preto. Processador S4 Dual Core 1.5Ghz. Touchscreen 4.3. Windows Phone 8. C;-4.44474E+015;3.12553E+016;Celular
Celular GSM Desbloqueado P3106 Smart Dual Chip c/ TV Integrada. C;-3.55526E+016;2.08418E+016;Celular
Smartphone Nokia N8 Dark Grey (Cinza Escuro). Tecnologia 3G. Wi-Fi. TouchScreen. GPS. C;-4.68354E+016;2.58642E+016;Celular
Celular CCE QW20. Dual Chip. Teclado QWERTY. TV. R;-3479860000000000;2.53108E+016;Celular
Celular Samsung Galaxy Mini S5570 GSM Desbloqueado Android 2.2 3G Wi-Fi GPS C;-4.21859E+016;1.16246E+016;Celular
Celular NOKIA Asha 200 Dual Chip cart;-2.99254E+016;2.77231E+016;Celular
Celular Samsung Ch@t 222 Desbloqueado TIM. Cinza. C;-3.19687E+016;1.6084E+016;Celular
Smartphone Samsung Galaxy Ace Duos GT-S7562 (GT-S7562UWLZTO);-5064400000000000;1.07935E+016;Celular
Celular Nokia C2-00 Dual Chip MP3 Player R;-2.83148E+016;2960910000000000;Celular
Smartphone Dual Chip Desbloqueado Samsung I6712 Duos TV Touchscreen Wi-Fi Tv Digital MP3 Player Rádio FM Fone de Ouvido Cartão 2GB;-6.75489E+016;-6468080000000000;Celular
Nokia GSM Lumia 720 Rm-885 Preto Desbloqueado. Windows Phone 8. C;-408784000000000;2.91855E+016;Celular
Celular Samsung GT-C3222 Chat322 Rosa. Internet. E-mail. Teclado Qwerty. Bluetooth. USB. Radio FM e Fone de Ouvido;-2.81006E+016;7814450000000000;Celular
Celular Motorola EX119 Motokey Bc/Rs. Qwerty. Dual Chip. Câmera 3MP. MP3. FM. Bluetooth. Cartão 2GB;-6164920000000000;2.41307E+016;Celular
CCE Mobi QW20 Rosa Dual Chip. Teclado QWERTY. C;-3.44356E+016;2.49846E+016;Celular
Smartphone Sony Ericsson Live Walkman Desbloqueado Oi. Preto - Android 2.3. Processador 1GHz. 3G. Wi-Fi. C;-4.23848E+016;3.48815E+016;Celular
Celular Samsung B3210 Corby Smart. camera 2.0 MP. Bluetooth;2.94424E+016;-438482000000000;Celular
Celular Nokia Asha 303 Pr Qwerty. Wi-Fi. 3G. C;5729250000000000;-3.00816E+016;Celular
Celular Smartphone Samsung Galaxy Grand Duos. AZUL - GT-I9082L - Desbloqueado. Dual Chip. C;-4810810000000000;884542000000000;Celular
Smartphone Nokia C3 Dourado / Branco - GSM - Desbloqueado Claro c/ Sistema Operacional Symbian S40 6.0. Wi-Fi. Teclado Qwerty. C;-4461640000000000;2214400000000000;Celular
CELULAR NOKIA X3-02 CINZA-PRETO 2GB DESBLOQUEADO - NOKIA;-3830410000000000;2713350000000000;Celular
Celular Lg Gs155 Claro (Desbloqueado);-3.52256E+016;1.3948E+016;Celular
Nextel Titanium com C;-5683970000000000;2.67632E+016;Celular
Blackberry Smartphone Blackberry 9520 Storm Preto GSM c/ Tecnologia 3G. Wi-Fi. GPS. TouchScreen. C;-4.326E+015;2475980000000000;Celular
Samsung Galaxy S IV 4 I9505 - Android 4.2 - Conex;-5.70218E+016;3.02169E+016;Celular
Smartphone Nokia N8 Prata 3G Wi-Fi GPS MP3 C;-4655550000000000;2715530000000000;Celular
Celular Motorola EX115 - C;-6413410000000000;1.8781E+016;Celular
Smartphone 3G Motorola RAZR i Android 4.0 - C;-5480290000000000;2.12933E+016;Celular
Celular LG A190. Dual Chip. Dual Band. Radio FM Antena Interna;-2.41007E+016;1.98134E+016;Celular
CELULAR LG DUAL OPTIMUS E-435 L-3 II;-6.27128E+016;954360000000000;Celular
