product;coord_x;coord_y;label
Samsung Galaxy Gran Duos I9082 - Dual Chip;-4,6947E+13;9,3905E+15;Celular
Smartphone Galaxy Y GT-S5360B Samsung Android 2.3 3G Quad Band Wi-Fi Bluetooth Touch MP3 A-GPS C;-4,35361E+16;8,13406E+13;Celular
Celular Desbloqueado Claro Alcatel OT355 Cinza QWERTY, Dual Chip, c/ C;-5,64632E+15;-9,27611E+15;Celular
Celular Desbloqueado Alcatel OT223 Cinza c/ R;-5,70006E+15;-9,22256E+15;Celular
Samsung GSM Ch@t C3222 Rosa Dual Chip, C;-3,43735E+15;2,21168E+16;Celular
Celular Desbloqueado Nokia C2-06 Grafite Dual Chip c/ C;-3,16257E+16;3,22276E+15;Celular
Celular Desbloqueado Dual Chip LG P525 Preto e Vermelho Touchscreen Wi-Fi Câmera 2MP MP3 Player Rádio FM Bluetooth;-2,76616E+16;9,96705E+15;Celular
Smartphone Nextel Motorola i867 Branco com Display Touch de 3.1 e Teclado QWERTY Virtual, Android 2.1, Wi-Fi e GPS;-5,39975E+16;2,38102E+15;Celular
Celular Motorola EX128 Dual Chip, C;-6,22539E+15;2,23908E+14;Celular
GT-I8190 VIVO : Smartphone Samsung Galaxy S III Mini Branco Desb vivo- GSM;-5,22432E+16;1,19211E+15;Celular
Smartphone Desbloqueado Dual Chip Optimus L5 II E455 Branco LG;-6,13866E+15;1,1178E+16;Celular
Smartphone Nokia Lumia 820, Desbloqueado, Preto, Processador S4 Dual Core 1,5Ghz, Touchscreen 4.3, Windows Phone 8, C;-4,44474E+15;3,12553E+16;Celular
Celular GSM Desbloqueado P3106 Smart Dual Chip c/ TV Integrada, C;-3,55526E+16;2,08418E+16;Celular
Smartphone Nokia N8 Dark Grey (Cinza Escuro), Tecnologia 3G, Wi-Fi, TouchScreen, GPS, C;-4,68354E+16;2,58642E+16;Celular
Celular CCE QW20, Dual Chip, Teclado QWERTY, TV, R;-3,47986E+15;2,53108E+16;Celular
Celular Samsung Galaxy Mini S5570 GSM Desbloqueado Android 2.2 3G Wi-Fi GPS C;-4,21859E+16;1,16246E+16;Celular
Celular NOKIA Asha 200 Dual Chip cart;-2,99254E+16;2,77231E+16;Celular
Celular Samsung Ch@t 222 Desbloqueado TIM, Cinza, C;-3,19687E+16;1,6084E+16;Celular
Smartphone Samsung Galaxy Ace Duos GT-S7562 (GT-S7562UWLZTO);-5,0644E+15;1,07935E+16;Celular
Celular Nokia C2-00 Dual Chip MP3 Player R;-2,83148E+16;2,96091E+15;Celular
Smartphone Dual Chip Desbloqueado Samsung I6712 Duos TV Touchscreen Wi-Fi Tv Digital MP3 Player Rádio FM Fone de Ouvido Cartão 2GB;-6,75489E+16;-6,46808E+15;Celular
Nokia GSM Lumia 720 Rm-885 Preto Desbloqueado, Windows Phone 8, C;-4,08784E+14;2,91855E+16;Celular
Celular Samsung GT-C3222 Chat322 Rosa, Internet, E-mail, Teclado Qwerty, Bluetooth, USB, Radio FM e Fone de Ouvido;-2,81006E+16;7,81445E+15;Celular
Celular Motorola EX119 Motokey Bc/Rs, Qwerty, Dual Chip, Câmera 3MP, MP3, FM, Bluetooth, Cartão 2GB;-6,16492E+15;2,41307E+16;Celular
CCE Mobi QW20 Rosa Dual Chip, Teclado QWERTY, C;-3,44356E+16;2,49846E+16;Celular
Smartphone Sony Ericsson Live Walkman Desbloqueado Oi, Preto - Android 2.3, Processador 1GHz, 3G, Wi-Fi, C;-4,23848E+16;3,48815E+16;Celular
Celular Samsung B3210 Corby Smart, camera 2.0 MP, Bluetooth;2,94424E+16;-4,38482E+14;Celular
Celular Nokia Asha 303 Pr Qwerty, Wi-Fi, 3G, C;5,72925E+15;-3,00816E+16;Celular
Celular Smartphone Samsung Galaxy Grand Duos, AZUL - GT-I9082L - Desbloqueado, Dual Chip, C;-4,81081E+15;8,84542E+14;Celular
Smartphone Nokia C3 Dourado / Branco - GSM - Desbloqueado Claro c/ Sistema Operacional Symbian S40 6.0, Wi-Fi, Teclado Qwerty, C;-4,46164E+15;2,2144E+15;Celular
CELULAR NOKIA X3-02 CINZA-PRETO 2GB DESBLOQUEADO - NOKIA;-3,83041E+15;2,71335E+15;Celular
Celular Lg Gs155 Claro (Desbloqueado);-3,52256E+16;1,3948E+16;Celular
Nextel Titanium com C;-5,68397E+15;2,67632E+16;Celular
Blackberry Smartphone Blackberry 9520 Storm Preto GSM c/ Tecnologia 3G, Wi-Fi, GPS, TouchScreen, C;-4,326E+15;2,47598E+15;Celular
Samsung Galaxy S IV 4 I9505 - Android 4.2 - Conex;-5,70218E+16;3,02169E+16;Celular
Smartphone Nokia N8 Prata 3G Wi-Fi GPS MP3 C;-4,65555E+15;2,71553E+15;Celular
Celular Motorola EX115 - C;-6,41341E+15;1,8781E+16;Celular
Smartphone 3G Motorola RAZR i Android 4.0 - C;-5,48029E+15;2,12933E+16;Celular
Celular LG A190, Dual Chip, Dual Band, Radio FM Antena Interna;-2,41007E+16;1,98134E+16;Celular
CELULAR LG DUAL OPTIMUS E-435 L-3 II;-6,27128E+16;9,5436E+14;Celular
Celular Desbloqueado Samsung Galaxy Y Pro Duos - Dual Chip, Android 2.3, C;-4,13725E+16;9,20665E+15;Celular
Smartphone Samsung Galaxy S II I9100 Preto com C;-5,3158E+15;9,11158E+15;Celular
Nextel i296 - IDEN c/ GPS Avan;-5,66495E+15;2,66491E+16;Celular
Smartphone Samsung Galaxy S III I9305 Grafite Android 4.0 C;-5,03438E+14;1,24184E+16;Celular
Celular Samsung Galaxy Y Duos S6102 Desbloqueado com Dual Chip, Android 2.3, Wi-Fi, 3G, GPS, C;-4,10727E+15;9,13503E+15;Celular
SMARTPHONE BLACKBERRY CURVE 8520 PRETO DESBLOQUEADO - Blackberry;-4,21346E+15;-1,52847E+16;Celular
LG P920DESBLOQUEADO PRETO;-3,69745E+15;1,53629E+16;Celular
Samsung S-7562 Galaxy S Duos - Preto;-5,74765E+15;2,52089E+16;Celular
Smartphone samsung Galaxy Note Desbloqueado GT-N7000 - 3G, 5.3, 8MP, Wi-Fi, 16GB;-5,08072E+14;5,4404E+16;Celular
NOKIA 5233 - DESBLOQUEADO - Nokia;-3,82437E+15;3,10274E+16;Celular
Celular ZTE do Corinthians Dual SIM Card, Radio FM,JAVA, MP3 Player,C;-2,44331E+15;1,10673E+16;Celular
Celular desbloqueado SN45 MEU Branco com TV Anal;-3,18528E+14;1,76269E+16;Celular
LG C105 Preto/ Vermelho e Rosa - GSM;-4,16124E+16;2,20961E+15;Celular
Motorola EX115 Dual Chip Desbloqueado;-6,2461E+16;2,09741E+16;Celular
Smartphone Samsung I9100 Galaxy S II 3G Desbloqueado Quadriband;-5,31935E+15;9,05902E+14;Celular
Alcatel OT-217 Deep Black, Dual Chip, R;-5,63463E+15;-9,16729E+14;Celular
Celular GSM Desbloqueado EX109 Mini c/ C;-6,44924E+15;1,65998E+15;Celular
"Smartphone Samsung Galaxy Win Duos 3G Android 4.1 - Câmera 5MP Tela 4.7"" Proces. Quad Core Wi-Fi A-GPS";-4,39826E+15;7,61758E+15;Celular
Sony W150 Roxo- GSM -Desbloqueado Claro c/ TouchScreen c/ tela de 2,6, C;-4,59304E+14;2,31607E+15;Celular
Smartphone Desbloqueado Claro - C3 Rosa - Nokia;-4,82862E+15;3,07204E+16;Celular
Celular Desbloqueado Motokey Mini Ex108 - MP3 player, C;-6,60957E+15;1,81314E+15;Celular
Celular LG X335 Dual Chip, Teclado Qwerty, R;-2,60454E+16;2,15169E+15;Celular
Celular Desbloqueado Samsung Wave 723 c/ C;-3,11676E+16;1,54686E+16;Celular
CELULAR SAMSUNG STAR C-6712 2 CHIPS DESBLOQUEADO Geral Vermelho GSM 850 / 900 / 1800 / 1900-1 SIM GSM 850 / 900 / 1800 / 1900-2 SIM Anunciou Abril 2011 Status Logo Tamanho Dimens;-3,85997E+15;2,13656E+15;Celular
Nextel i465 - iDEN c/ C;-5,67481E+15;2,67205E+15;Celular
Smartphone Nokia Lumia 710 / Preto / 3.7 / 8GB / 5MP / Wi-Fi / 3G / Windows / GPS;-4,57586E+16;2,85984E+16;Celular
Celular ZTE-G R236 - Dual Chip - ZTE;-2,41248E+16;2,57097E+14;Celular
Smartphone Sony Ericsson Live Desbloqueado;-5,09638E+15;1,80585E+16;Celular
Celular ZTE R260 Desbloqueado - Dual Chip Wi-Fi Branco/Laranja;-2,73326E+15;2,44851E+16;Celular
Smartphone Optimus L9 P768F Display 4.7, 3G, Wi-Fi, Android 4.0 Processador Dual Core 1Ghz, C;-4,39559E+15;4,16585E+15;Celular
Celular desbloqueado claro t500 bivolt pr lg;-3,61422E+15;1,41467E+16;Celular
Celular Desbloqueado Nokia C6 Branco c/ C;-3,61645E+16;2,99531E+15;Celular
Celular Desbloqueado Nokia Lumia 710 Preto - Windows Phone 7.5, C;-4,04519E+15;2,98766E+16;Celular
Smartphone LG Optimus P350 Desbloqueado TIM, Prata - Android 2.2, Tela 2.8, 3G, WiFi, GPS, C;-4,69349E+15;1,76939E+16;Celular
Celular desbloqueado 411 Meu Preto/Vermelho c/ C;-3,54511E+15;1,69944E+16;Celular
Celular Nokia C3 GSM Quadriband, Teclado Qwerty, Wi-Fi, C;-4,09485E+15;2,51965E+15;Celular
Celular Samsung Desbloqueado S5222 Star III Dual Chip Com Tela 3.0 Touch Screen C;-3,46609E+15;1,05021E+16;Celular
Smartphone Samsung Galaxy S Duos GT-S7562 Com Dual Chip C;-4,85916E+15;1,00881E+16;Celular
Smartphone Samsung Galaxy Ace S5830 Preto Branco Android 2.2, C;-4,95679E+16;1,24664E+16;Celular
Celular Desbloqueado ZTE-G S213 Preto , Dual Chip, R;-2,44319E+16;2,40873E+16;Celular
Smartphone Nokia Lumia 710 Branco e Rosa 3G Desbloqueado;-4,82361E+16;3,05869E+16;Celular
"Smartphone Samsung Galaxy S4 4G Android 4.2 - Câmera 13MP Tela 5"" Wi-Fi Proc. Quad Core";-4,40137E+15;7,53973E+16;Celular
Celular Motorola MotoTV EX139 Dual Chip - TV Digital/Anal;-6,12813E+15;2,2042E+16;Celular
Celular LG C310 Desbloqueado;-3,51128E+16;1,42006E+16;Celular
Freecel Duo TV Vermelho, Dual Chip, TV Integrada, C;-2,64399E+16;2,76422E+16;Celular
Smartphone Desbloqueado LG Optimus L5 II Dual Preto com Android 4.1, C;-6,12788E+15;1,03368E+16;Celular
Motorola Nextel i296, GPS, Bluetooth;-5,52617E+16;2,61413E+16;Celular
Celular Desbloqueado TIM EX119 Motokey Mini Branco/Rosa- Motorola;-6,66386E+15;1,87586E+16;Celular
"Celular LG Optimus L7 P705 Preto, Tela de 4.3"", Android 4.0, Processador de 1GHz, Câmera de 5MP, Wi-Fi, 3G, Rádio FM, MP3 Player, Bluetooth";-3,7223E+16;4,24005E+15;Celular
NOKIA X1-01 PRETO;-3,39062E+15;2,9116E+15;Celular
Smartphone Samsung Galaxy S4 4G I9505 Branco, Processador Quad Core 1.9 Ghz, Android 4.2, Wi -Fi, GPS, Câmera 13.0 MP, Mp3, Memória 16 GB;-4,21141E+16;5,96102E+15;Celular
Celular Motorola EX115 Motokey 2 Chips Desbloqueado - Rosa/Branco;-6,67996E+14;1,88317E+15;Celular
Telefone Celular Nokia X1-01 Dual Chip MP3 Radio FM e Fone de Ouvido Desbloqueado;-1,25139E+15;-1,332E+16;Celular
Celular Samsung GT-C3222 Chat322 Prata, Quad-Band, C;-2,3066E+15;1,46075E+16;Celular
Celular LG Desbloqueado Claro A180 R;-3,5139E+15;1,359E+16;Celular
Celular LG Dual Chip Desbloqueado C375 C;-2,76732E+16;2,2786E+16;Celular
Smartphone Nokia C5-03- 3G, Wi-Fi, GPS, C;-4,60386E+15;2,83434E+16;Celular
Celular Nokia 710 Lumia Branco;-3,52444E+15;2,94074E+15;Celular
"Celular Sony Xperia E C1604 Desbloqueado com Dual Chip, Android 4.0, Memória 4GB, Processador 1GHz, Tela 3,5"", 3G/Wi-Fi, Câmera 3.2MP - Preto";-4,01508E+16;2,0261E+16;Celular
